"date_survey","governorate_ID","governorate_name","district_ID","district_name","market_name","type_area","fuel_prices","cash_feasibility_fuel","cash_feasibility_fuel/Cash","cash_feasibility_fuel/Mobile_money","cash_feasibility_fuel/Credit_debit_Card","cash_feasibility_fuel/Prepaid_cards","cash_feasibility_fuel/Credit","cash_feasibility_fuel/Vouchers","cash_feasibility_fuel/Bartering","cash_feasibility_fuel/Other","cash_feasibility_fuel/Do_not_know","Other_cash_feasibility_fuel","sell_petrol","quantity_1L_petrol","quantity_other_petrol","price_petrol","calc_price_petrol","price_diesel_normalised","sell_diesel","quantity_1L_diesel","diesel_quantity_other","price_diesel","calc_price_diesel","price_diesel_normalised_1","fuel_gov_origin","fuel_restock_days_min","fuel_constraints_multiple","fuel_constraints_multiple/Price_inflation","fuel_constraints_multiple/Liquidity_shortage","fuel_constraints_multiple/Shortage_of_demand","fuel_constraints_multiple/Insecurity_and_instability","fuel_constraints_multiple/Supply_shortage","fuel_constraints_multiple/Government_regulations","fuel_constraints_multiple/Transportation_issues","fuel_constraints_multiple/Other_see_next_question","fuel_constraints_multiple/Do_not_know","fuel_constraints_multiple/No_constraints","fuel_constraints_multiple/Vendor_did_not_answer","wash_list","wash_prices","cash_feasibility_wash","cash_feasibility_wash/Cash","cash_feasibility_wash/Mobile_money","cash_feasibility_wash/Credit_debit_Card","cash_feasibility_wash/Prepaid_cards","cash_feasibility_wash/Credit","cash_feasibility_wash/Vouchers","cash_feasibility_wash/Bartering","cash_feasibility_wash/Other","cash_feasibility_wash/Do_not_know","Other_cash_feasibility_wash","sell_bottled_water","quantity_0.75L","bottled_quantity_other","price_bottled_water","calc_price_bottled_water","price_bottled_water_normalised","sell_treated_water","quantity_10L","treated_quantity_other","price_treated_water","calc_price_treated_water","price_treated_water_normalised","sell_soap","quantity_1bar","soap_quantity_specify","price_soap","calc_price_soap","price_soap_normalised","sell_laundry_powder","quantity_100g","laundry_quantity_other","price_laundry_powder","calc_price_laundry","price_laundry_powder_normalised","sell_sanitary_napkins","quantity_10units","napkins_quantity_other","price_sanitary_napkins","calc_price_sanitary","price_sanitary_napkins_normalised","wash_gov_origin","wash_type_supplier","wash_restock_days_min","wash_constraints_multiple","wash_constraints_multiple/Price_inflation","wash_constraints_multiple/Liquidity_shortage","wash_constraints_multiple/Shortage_of_demand","wash_constraints_multiple/Insecurity_and_instability","wash_constraints_multiple/Supply_shortage","wash_constraints_multiple/Government_regulations","wash_constraints_multiple/Transportation_issues","wash_constraints_multiple/Other_see_next_question","wash_constraints_multiple/Do_not_know","wash_constraints_multiple/No_constraints","wash_constraints_multiple/Vendor_did_not_answer","water_trucking_prices","cash_feasibility_water_trucking","cash_feasibility_water_trucking/Cash","cash_feasibility_water_trucking/Mobile_money","cash_feasibility_water_trucking/Credit_debit_Card","cash_feasibility_water_trucking/Prepaid_cards","cash_feasibility_water_trucking/Credit","cash_feasibility_water_trucking/Vouchers","cash_feasibility_water_trucking/Bartering","cash_feasibility_water_trucking/Other","cash_feasibility_water_trucking/Do_not_know","Other_cash_feasibility_water_trucking","capacity_truck","type_owner","type_water","water_chlorinated","cost_cubic_meter","location_source","price_cubic_meter","distance_travelled","distance_price","additional_cost_5","additional_cost_10","constraints_multiple","constraints_multiple/Price_inflation","constraints_multiple/Liquidity_shortage","constraints_multiple/Shortage_of_demand","constraints_multiple/Insecurity_and_instability","constraints_multiple/Supply_shortage","constraints_multiple/Government_regulations","constraints_multiple/Transportation_issues","constraints_multiple/Other_see_next_question","constraints_multiple/Do_not_know","constraints_multiple/No_constraints","constraints_multiple/Vendor_did_not_answer","exchange_rate","exchange_rate_result","further_comments","_uuid"
2019-01-23,"YE11","Ibb","YE1118","Al Mashannah","Muthalath Al-Muwaslat","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,345,NA,390,"Yes","Yes",NA,390,NA,390,"YE18",3,"Price Inflation Shortage of Demand",1,0,1,0,0,0,0,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,120,NA,120,"Yes","No",5,100,200,200,"Yes","Yes",80,130,130,130,"Yes","Yes",NA,80,NA,80,"Yes","Yes",NA,450,NA,450,"YE11","Wholesaler",7,"Price Inflation Liquidity Shortage Shortage of Demand",1,1,1,0,0,0,0,0,0,0,0,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,6,"Private","Pumping Station or Borehole","No",3000,1,NA,10,"Yes",13000,20000,"Price Inflation Shortage of Demand Insecurity and Instability",1,0,1,1,0,0,0,0,0,0,0,"Yes",540,NA,"d61c9a35-63e2-4c9d-ab5d-d9f2af2f9caf"
2019-01-20,"YE11","Ibb","YE1119","Al Dhihar","Shara'a Al-Udain","Urban","Yes","Cash",1,0,0,0,0,0,0,0,0,NA,"Yes","Yes",NA,345,NA,400,"Yes","Yes",NA,400,NA,400,"YE18",2,"Price Inflation Transportation Issues",1,0,0,0,0,0,1,0,0,0,0,NA,"Yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"Yes","Yes",NA,100,NA,100,"Yes","No",5,100,200,200,"Yes","Yes",80,130,130,130,"Yes","Yes",NA,100,NA,100,"Yes","Yes",NA,500,NA,500,"YE11","Wholesaler",7,"Price Inflation Shortage of Demand",1,0,1,0,0,0,0,0,0,0,0,"Yes","Cash",1,0,0,0,0,0,0,0,0,NA,14,"Private","Pumping Station or Borehole","No",2000,1,NA,10,"Yes",30000,35000,"Price Inflation Liquidity Shortage Shortage of Demand",1,1,1,0,0,0,0,0,0,0,0,"Yes",529,NA,"1bfa42ba-ef0e-42d1-b81b-da896b4b10c1"
2019-01-23,"YE12","Abyan","YE1211","Khanfir","Al Husn","Urban","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,120,NA,120,"yes","yes",NA,100,NA,100,"yes","yes",80,120,120,120,"yes","yes",NA,100,NA,100,"yes","yes",NA,450,NA,450,"YE12","Wholesaler",2,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"0f954da7-e288-4ac1-be8b-e4ac4224b5a5"
2019-01-23,"YE12","Abyan","YE1211","Khanfir","Al Husn","Urban","yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,275,NA,310,"yes","yes",NA,310,NA,310,"YE24",7,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,NA,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,120,NA,120,"yes","yes",NA,100,NA,100,"yes","yes",80,100,100,100,"yes","no",110,100,90.90909091,90.90909091,"yes","yes",NA,450,NA,450,"YE12","Wholesaler",5,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"029c4817-44d4-48ac-8cc3-f81f23aef58b"
2019-01-23,"YE12","Abyan","YE1211","Khanfir","Al Husn","Urban","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"yes","yes",NA,130,NA,130,"yes","yes",NA,100,NA,100,"yes","yes",80,150,150,150,"yes","yes",NA,70,NA,70,"yes","yes",NA,500,NA,500,"YE24","Vendor",7,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"ae907ab7-cc78-4ed4-8ce6-c74f53132aa8"
2019-01-23,"YE12","Abyan","YE1211","Khanfir","Al Kod","Rural","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,100,NA,100,"yes","yes",NA,100,NA,100,"yes","no",80,170,170,170,"yes","yes",NA,100,NA,80,"yes","yes",NA,550,NA,550,"YE12","Wholesaler",3,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"7dcbdde2-1696-4f70-9b90-91ae2178be79"
2019-01-23,"YE12","Abyan","YE1211","Khanfir","Al Kod","Rural","yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,285,NA,215,"yes","yes",NA,215,NA,215,"YE24",5,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,NA,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,100,NA,100,"yes","yes",NA,50,NA,50,"yes","yes",80,100,100,100,"yes","yes",NA,80,NA,80,"yes","yes",NA,600,NA,600,"YE12","Wholesaler",10,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"a322f940-6381-4403-9808-63464c544e96"
2019-01-23,"YE12","Abyan","YE1211","Khanfir","Al Kod","Rural","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"yes","yes",NA,100,NA,100,"yes","yes",NA,70,NA,70,"yes","yes",80,150,150,150,"yes","no",110,150,136.3636364,48,"yes","yes",NA,500,NA,500,"YE12",NA,5,"Price_inflation Supply_shortage",1,0,0,0,1,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"35693fe5-61c8-4faa-9a18-ab9f76ff92d8"
2019-01-23,"YE12","Abyan","YE1211","Khanfir","Al Makhzan","Rural","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,100,NA,100,"yes","yes",NA,80,NA,80,"yes","yes",80,140,140,140,"yes","yes",NA,70,NA,80,"yes","yes",NA,450,NA,450,"YE12","Wholesaler",8,"Price_inflation",1,0,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"01cf7824-f9b0-4173-ba9a-e6eac1ae9715"
2019-01-23,"YE12","Abyan","YE1211","Khanfir","Al Makhzan","Rural","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash",1,0,0,0,0,0,0,0,0,NA,"yes","yes",NA,120,NA,120,"yes","yes",NA,100,NA,100,"yes","yes",80,130,130,130,"yes","yes",NA,80,NA,80,"yes","yes",NA,550,NA,550,"YE12","Wholesaler",7,"Price_inflation Liquidity_shortage",1,1,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"5f58b1ee-dd36-48e7-aea6-33a3de14dbcd"
2019-01-23,"YE12","Abyan","YE1211","Khanfir","Al Msaimeer","Rural","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","Cash Credit",1,0,0,0,1,0,0,0,0,NA,"yes","yes",NA,120,NA,120,"yes","yes",NA,70,NA,70,"yes","yes",80,120,120,120,"yes","yes",NA,90,NA,60,"yes","yes",NA,450,NA,450,"YE12","Wholesaler",2,"Price_inflation Liquidity_shortage",1,1,0,0,0,0,0,0,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"5d7ad843-ea86-482e-a540-89703579c3a8"
