Date,country_ID,country_name,governorate_ID,governorate_name,district_ID,district_name,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,quantity_other_diesel,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_other,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,mrk_supply_routes,mrk_supply_issues,mrk_supply_issues/dmg_infra_market,mrk_supply_issues/dmg_infra_sorrounding,mrk_supply_issues/dmg_storage,mrk_supply_issues/move_restriction,mrk_supply_issues/other,mrk_supply_issues/did_not_answer,mrk_supply_issues_other,mrk_dmg_infra,mrk_dmg_infra/road,mrk_dmg_infra/electrical,mrk_dmg_infra/water,mrk_dmg_infra/communication,mrk_dmg_infra/other,mrk_dmg_infra_other,mrk_increse_fuel_50,mrk_increse_fuel_100,mrk_increse_WASH_50,mrk_increse_WASH_100,mrk_increse_water_50,mrk_increse_water_100,further_comments,_uuid
2019-03-22,YE,Yemen,YE20,Dhamar,YE2007,Wusab As Safil,Al-ahad,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,no,20,7500,375,,,yes,no,20,8500,425,,,YE18,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,no,5,190,380,,,yes,yes,,110,110,,,yes,yes,,120,120,,,yes,yes,,580,580,,,YE20,Wholesaler,4,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,3500,2,,5,yes,2500,5000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,590,,no,,,,,,,,,,,,,,,,no,no,no,no,no,no,,883769b8-0cd0-4be4-a0e7-5ffed6d37ebf
2019-03-22,YE,Yemen,YE20,Dhamar,YE2007,Wusab As Safil,Al-ahad,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,no,20,7600,380,,,yes,no,20,8600,430,,,YE20,6,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,100,,,yes,no,5,160,320,,,yes,yes,,120,120,,,yes,yes,,120,120,,,yes,yes,,570,570,,,YE20,Wholesaler,5,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,3500,1,,6,yes,2500,5000,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,590,,no,,,,,,,,,,,,,,,,no,no,yes,yes,yes,yes,,762d10b6-d00a-4f7a-9e35-9abe132e7386
2019-04-03,YE,Yemen,YE17,Hajjah,YE1724,Bani Qa'is,Alaman Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,no,,,,,,,yes,yes,,120,120,,,yes,no,110,100,91,,,yes,yes,,500,500,,,YE18,Vendor,30,Vendor_did_not_answer,0,0,0,0,0,0,0,0,0,0,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,560,,yes,dmg_infra_market,1,0,0,0,0,0,,road electrical water,1,1,1,0,0,,yes,no,yes,yes,yes,no,,eea7b6e7-e4f3-4593-a277-25791eeab718
2019-04-03,YE,Yemen,YE17,Hajjah,YE1726,Najrah,Alaman Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Water_Spring,no,1200,2,,10,yes,12000,16000,Vendor_did_not_answer,0,0,0,0,0,0,0,0,0,0,1,yes,560,,yes,dmg_infra_market,1,0,0,0,0,0,,road electrical water,1,1,1,0,0,,yes,no,yes,yes,yes,no,,f898f266-93ea-4e10-92c5-19ba1ccd8f45
2019-04-03,YE,Yemen,YE17,Hajjah,YE1726,Najrah,Alaman Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,375,375,,,yes,yes,,430,430,,,YE18,15,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,560,,yes,dmg_infra_market,1,0,0,0,0,0,,road electrical water,1,1,1,0,0,,yes,no,yes,yes,yes,no,,105ac6ff-16d2-498a-a5b2-fe7b09a3ecb2
2019-04-03,YE,Yemen,YE17,Hajjah,YE1726,Najrah,Alaman Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,375,375,,,yes,yes,,430,430,,,YE18,10,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,560,,yes,dmg_infra_market,1,0,0,0,0,0,,road electrical water,1,1,1,0,0,,yes,no,yes,yes,yes,no,,a3f1b2c0-c863-45b9-aef0-ff5e1ef09153
2019-04-03,YE,Yemen,YE17,Hajjah,YE1726,Najrah,Alaman Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,120,,,no,,,,,,,yes,yes,,120,120,,,yes,no,110,120,109,,,yes,yes,,400,400,,,YE18,Vendor,10,No_constraints,0,0,0,0,0,0,0,0,0,1,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,560,,yes,dmg_infra_market,1,0,0,0,0,0,,road electrical water,1,1,1,0,0,,yes,no,yes,yes,yes,no,,f55db756-d3dd-4eac-bd36-c00616e725c4
2019-04-02,YE,Yemen,YE24,Aden,YE2408,Khur Maksar,Alareesh Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,yes,yes,yes,no,no,no,,3bf95fba-da9d-4cb8-9c70-44f3b4e1cb16
2019-04-02,YE,Yemen,YE24,Aden,YE2408,Khur Maksar,Alareesh Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash Credit_debit_Card,1,0,1,0,0,0,0,0,0,,yes,yes,,120,120,,,yes,yes,,70,70,,,yes,yes,,120,120,,,yes,no,110,150,136,,,yes,yes,,500,500,,,YE24,Wholesaler,1,No_constraints,0,0,0,0,0,0,0,0,0,1,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,yes,yes,yes,no,no,no,No exchange shops in the market,603d9aad-58c7-4687-8a61-fe40df493bcf
2019-04-02,YE,Yemen,YE24,Aden,YE2408,Khur Maksar,Alareesh Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,yes,yes,yes,no,no,no,No water trucking in the market,8b23dcec-24ff-407d-b951-a56ff46125f3
2019-04-02,YE,Yemen,YE15,Taizz,YE1522,Al Mawasit,Alayin Market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,7,Private,Pumping_Station_or_Borehole,no,500,2,,15,yes,20000,35000,Other_see_next_question,0,0,0,0,0,0,0,1,0,0,0,no,,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,no,no,The water trucking prices are high due to the shortage of water in wells.,af4f1471-1a96-4db8-9db5-da436fe2f9ea
2019-04-02,YE,Yemen,YE15,Taizz,YE1522,Al Mawasit,Alayin Market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,no,no,No exchange shop at the market.,cae1fcb0-45c1-4126-a8b7-35a7e1f388cc
2019-04-02,YE,Yemen,YE15,Taizz,YE1522,Al Mawasit,Alayin Market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,no,,,,,,,no,,,,,,,no,,,,,,,yes,yes,,500,500,,,YE24,Vendor,5,Liquidity_shortage,0,1,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,yes,yes,yes,yes,no,no,,e52f875a-2dca-45bd-bc63-ce98aba39e11
2019-04-02,YE,Yemen,YE15,Taizz,YE1522,Al Mawasit,Alayin Market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,588,,no,,,,,,,,,,,,,,,,no,no,yes,no,no,no,The market doesn't sell fuel.,758b5213-65a6-49bb-a354-cc19b9c5209f
2019-04-02,YE,Yemen,YE15,Taizz,YE1522,Al Mawasit,Alayin Market,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,150,,,yes,yes,,150,150,,,yes,yes,,130,130,,,yes,no,110,120,109,,,yes,yes,,500,500,,,YE24,Vendor,6,Liquidity_shortage Insecurity_and_instability,0,1,0,1,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,588,,no,,,,,,,,,,,,,,,,no,no,yes,no,no,no,,d45425f6-cec3-4342-86d8-6d67b6217911
2019-04-02,YE,Yemen,YE15,Taizz,YE1522,Al Mawasit,Alayin Market,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,400,400,,,yes,yes,,425,425,,,YE24,4,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,yes,no,yes,yes,yes,no,The market has no exchange shop.,71c0c84f-0932-4448-a3dd-77ba9d035984
