date_survey,governorate_ID,governorate_name,district_ID,district_name,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,further_comments,_uuid
1/25/2019,YE30,Al Dhale'e,YE3006,Ad Dhale'e,Senah,Urban,Yes,Cash Prepaid cards,1,0,0,1,0,0,0,0,0,,Yes,Yes,,275,NaN,,,No,,,,,,,YE19,30,Price Inflation Shortage of Demand Supply Shortage,1,0,1,0,1,0,0,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,95,NaN,,,Yes,Yes,,100,NaN,,,Yes,Yes,250,780,249.6,,,Yes,Yes,,80,NaN,,,Yes,Yes,,500,NaN,,,YE24,Wholesaler,20,Price Inflation Supply Shortage Transportation Issues,1,0,0,0,1,0,1,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,6,Private,Pumping Station or Borehole,No,2000,10,,15,No,,,Shortage of Demand Supply Shortage,0,0,1,0,1,0,0,0,0,0,0,Yes,530,,72608d92-b288-4d4f-b1fd-491c90fc7f49
1/24/2019,YE30,Al Dhale'e,YE3006,Ad Dhale'e,Senah,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,280,NaN,,,Yes,Yes,,300,NaN,,,YE19,30,Shortage of Demand Supply Shortage,0,0,1,0,1,0,0,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,100,NaN,,,Yes,Yes,,80,NaN,,,Yes,Yes,200,510,204,,,Yes,Yes,,80,NaN,,,Yes,Yes,,500,NaN,,,YE30,Wholesaler,5,Shortage of Demand Supply Shortage Transportation Issues,0,0,1,0,1,0,1,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,6,Private,Pumping Station or Borehole,No,2000,15,,10,No,,,Shortage of Demand Supply Shortage,0,0,1,0,1,0,0,0,0,0,0,Yes,530,,59653d7a-edbc-43a6-8402-b0e459390f1d
1/23/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e New Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,275,NaN,,,yes,yes,,310,NaN,,,YE24,3,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,550,,b624d5c8-bd76-4a0b-80ab-1d382941c7c4
1/23/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e New Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,3.5,Private,Water_Spring,no,4000,5,,45,yes,14000,15000,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,530,,85b784b3-9a6e-49fe-a87b-6047dfce9980
1/23/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e New Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,275,NaN,,,no,,,,,,,YE24,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,530,,5ec9753e-714b-4b1a-b3aa-2abb88ec8f79
1/23/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e New Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,130,NaN,,,yes,yes,,150,NaN,,,yes,yes,70,150,171.4285714,,,yes,no,110,130,118.1818182,,,yes,yes,,500,NaN,,,YE24,Wholesaler,3,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,530,,9c92c056-fa8c-4d1d-92f2-990c1bae11f7
1/23/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e New Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,130,NaN,,,yes,yes,,150,NaN,,,yes,yes,70,150,171.4285714,,,yes,no,110,140,127.2727273,,,yes,yes,,450,NaN,,,YE24,Wholesaler,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,550,,82406514-2d07-4498-a3a5-dbafe864a10f
1/22/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e Old Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,275,NaN,,,yes,yes,,310,NaN,,,YE24,3,Supply_shortage,0,0,0,0,1,0,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,540,,1d5b7eea-aecf-4a25-ac10-26afcdb641b4
1/20/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e Old Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,4.5,Private,Pumping_Station_or_Borehole,Do_not_know,250,3,,15,yes,6000,10000,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,530,,fe2b8615-718d-40d5-b0cd-23c46af3432b
1/20/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e Old Market,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,275,NaN,,,no,,,,,,,YE24,7,Other_see_next_question,0,0,0,0,0,0,0,1,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,530,,602c8256-6082-4cd2-8170-2661a6a00867
1/20/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e Old Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,140,NaN,,,yes,yes,,120,NaN,,,yes,yes,70,150,171.4285714,,,yes,no,110,130,118.1818182,,,yes,yes,,500,NaN,,,YE24,,3,Other_see_next_question,0,0,0,0,0,0,0,1,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,530,,ef7daa75-81bc-46c2-ac96-00da0eba56ab
1/22/2019,YE24,Aden,YE2404,Al Buraiqeh,Ba Nafe'e Old Market,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,yes,,150,NaN,,,yes,yes,70,150,171.4285714,,,yes,no,110,150,136.3636364,,,yes,yes,,500,NaN,,,YE24,Wholesaler,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,540,,16eb078b-7480-4f2a-9ff0-25b62e6af68b
1/20/2019,YE11,Ibb,YE1119,Al Dhihar,Al-Daeri,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,345,NaN,,,Yes,Yes,,400,NaN,,,YE18,3,Price Inflation Liquidity Shortage Transportation Issues,1,1,0,0,0,0,1,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,120,NaN,,,Yes,No,5,100,200,,,Yes,Yes,80,130,130,,,Yes,Yes,,100,NaN,,,Yes,Yes,,350,NaN,,,YE11,Wholesaler,10,Price Inflation Insecurity and Instability Transportation Issues,1,0,0,1,0,0,1,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,5,Do_not_know,Water Spring,No,2300,1,,5,Yes,9000,0,Price Inflation Transportation Issues,1,0,0,0,0,0,1,0,0,0,0,Yes,535,,35099ca9-b82e-41cb-ade9-035bbe01545d
1/20/2019,YE11,Ibb,YE1119,Al Dhihar,Al-Sabal,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,345,NaN,,,No,,,,,,,YE18,1,Price Inflation Shortage of Demand Transportation Issues,1,0,1,0,0,0,1,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,120,NaN,,,Yes,No,5,100,200,,,Yes,Yes,80,100,100,,,Yes,Yes,,100,NaN,,,Yes,Yes,,500,NaN,,,YE11,Wholesaler,9,Price Inflation Liquidity Shortage Shortage of Demand,1,1,1,0,0,0,0,0,0,0,0,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,5,Private,Pumping Station or Borehole,No,2300,2,,10,Yes,10000,15000,Price Inflation Shortage of Demand Transportation Issues,1,0,1,0,0,0,1,0,0,0,0,Yes,535,The fuel vendor reported that he is waiting for accessing the diesel,97920f1d-c665-4a30-952a-2ce1b08f545b
1/20/2019,YE11,Ibb,YE1119,Al Dhihar,Shara'a Al-Udain,Urban,Yes,Cash,1,0,0,0,0,0,0,0,0,,Yes,Yes,,345,NaN,,,Yes,Yes,,400,NaN,,,YE18,2,Price Inflation Transportation Issues,1,0,0,0,0,0,1,0,0,0,0,,Yes,Cash Credit,1,0,0,0,1,0,0,0,0,,Yes,Yes,,100,NaN,,,Yes,No,5,100,200,,,Yes,Yes,80,130,130,,,Yes,Yes,,100,NaN,,,Yes,Yes,,500,NaN,,,YE11,Wholesaler,7,Price Inflation Shortage of Demand,1,0,1,0,0,0,0,0,0,0,0,Yes,Cash,1,0,0,0,0,0,0,0,0,,14,Private,Pumping Station or Borehole,No,2000,1,,10,Yes,30000,35000,Price Inflation Liquidity Shortage Shortage of Demand,1,1,1,0,0,0,0,0,0,0,0,Yes,529,,1bfa42ba-ef0e-42d1-b81b-da896b4b10c1
1/20/2019,YE18,Al Hudaydah,YE1820,Al Khawkhah,Al Khokha,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,515,,66e054ec-31c3-4655-a06e-e2bdee7c4a61
1/20/2019,YE18,Al Hudaydah,YE1820,Al Khawkhah,Al Khokha,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,541,,2a217f6d-43ff-4781-acf2-2b4a49dc3c4e
