start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,governorate_name,district_ID,district_name,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_diesel_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,further_comments,_uuid,_submission_time,_index
2019-01-21T15:10:42.229+03:00,2019-01-21T15:13:30.076+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-20,?????,SI,,YE18,Al Hudaydah,YE1820,Al Khawkhah,???????,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,330,NaN,330,,yes,yes,,330,NaN,330,,YE24,6,Liquidity_shortage,0,1,0,0,0,0,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,7fc12d3d-d6b2-4641-861c-16a5132d434c,2019-01-21T12:13:33,11
2019-01-21T15:01:50.903+03:00,2019-01-21T15:10:37.298+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-20,?????????,SI,,YE18,Al Hudaydah,YE1820,Al Khawkhah,??????,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,320,NaN,330,,yes,yes,,330,NaN,330,,YE19,4,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,3176b535-fe20-4f1d-9406-430cb78af09c,2019-01-21T12:10:41,12
2019-01-28T13:10:21.261+03:00,2019-01-28T13:21:37.861+03:00,2019-01-28,ee.humanitarianresponse.info:R4fuc3FGEppdUAIu,2019-01-26,?????????,NFDHR,,YE22,Sa'ada,YE2209,Saqayn,??? ????? - ???,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,430,NaN,450,,yes,yes,,450,NaN,450,,YE22,6,Price_inflation Liquidity_shortage Supply_shortage,1,1,0,0,1,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,170,NaN,170,,yes,yes,,150,NaN,150,,yes,yes,100,160,128,128,,yes,yes,,160,NaN,160,,yes,yes,,450,NaN,450,,YE22,Wholesaler,6,Price_inflation Liquidity_shortage Supply_shortage,1,1,0,0,1,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,30,Private,Water_Spring,yes,4600,3,,4,yes,7500,13000,Price_inflation Shortage_of_demand Supply_shortage,1,0,1,0,1,0,0,0,0,0,0,yes,540,,,e6a67646-f3f9-4f68-81f9-767a05a5e8f4,2019-01-28T10:21:40,13
2019-01-28T13:06:47.502+03:00,2019-01-28T13:12:12.579+03:00,2019-01-28,ee.humanitarianresponse.info:JkQeY6Wzkr2Nfsq9,2019-01-28,Yousif,SOUL,,YE13,Amanat Al Asimah,YE1308,Ma'ain,Al Soninah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,350,NaN,430,,yes,yes,,430,NaN,430,,Do_not_know,10,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,NaN,100,,yes,yes,,120,NaN,120,,yes,yes,100,116,92.8,92.8,,yes,yes,,180,NaN,180,,yes,yes,,620,NaN,620,,Vendor_did_not_answer,Wholesaler,3,Vendor_did_not_answer,0,0,0,0,0,0,0,0,0,0,1,yes,Cash,1,0,0,0,0,0,0,0,0,,10,Private,Pumping_Station_or_Borehole,yes,480,2,,3,no,,,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,yes,520,,,62e55172-78ea-4521-b66b-d8f4b505c100,2019-01-28T10:14:49,14
2019-01-28T13:00:30.479+03:00,2019-01-28T13:06:40.858+03:00,2019-01-28,ee.humanitarianresponse.info:JkQeY6Wzkr2Nfsq9,2019-01-28,Bassam,SOUL,,YE13,Amanat Al Asimah,YE1308,Ma'ain,Al Raqas,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,345,NaN,430,,yes,yes,,430,NaN,430,,Vendor_did_not_answer,20,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,NaN,100,,yes,yes,,150,NaN,150,,yes,yes,70,80,91.42857143,91.42857143,,yes,yes,,120,NaN,120,,yes,yes,,550,NaN,550,,YE13,Vendor,5,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,40,Private,Pumping_Station_or_Borehole,yes,500,1,,2,no,,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,546,,,5fbf6cad-b5f7-4580-a2a1-532a893d44e7,2019-01-28T10:09:21,15
2019-01-28T12:44:57.398+03:00,2019-01-28T13:00:22.239+03:00,2019-01-28,ee.humanitarianresponse.info:JkQeY6Wzkr2Nfsq9,2019-01-28,Huda,SOUL,,YE13,Amanat Al Asimah,YE1308,Ma'ain,Al Rebat,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,345,NaN,430,,yes,yes,,430,NaN,430,,YE18,30,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,NaN,100,,yes,yes,,150,NaN,150,,yes,yes,80,150,150,150,,yes,yes,,120,NaN,120,,yes,yes,,498,NaN,498,,YE13,Wholesaler,2,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,10,Private,Pumping_Station_or_Borehole,yes,500,1,,5,no,,,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,540,,,766eff25-93be-4f96-b53f-3add067dd15c,2019-01-28T10:03:05,16
2019-01-22T10:45:57.178+03:00,2019-01-22T11:31:28.924+03:00,2019-01-22,ee.humanitarianresponse.info:MkBhW8z4emwKShDD,2019-01-22,Mahdi,NRC,,YE18,Al Hudaydah,YE1806,Al Qanawis,Alqanawis,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,380,NaN,420,,yes,yes,,420,NaN,420,,YE18,4,No_constraints,0,0,0,0,0,0,0,0,0,1,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,120,,yes,yes,,150,NaN,150,,yes,yes,75,120,128,128,,yes,no,110,100,90.90909091,90.90909091,,yes,yes,,600,NaN,600,,YE18,Wholesaler,3,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,2200,10,,10,no,,,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,530,,,2689d2bd-f347-44d7-bb4a-64f30818f05b,2019-01-22T08:31:33,17
2019-01-21T16:46:38.069+03:00,2019-01-21T16:47:59.152+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-21,?????????,SI,,YE18,Al Hudaydah,YE1819,Hays,???,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,564,,,7be4efde-c2ae-4f7e-b541-5d9da89643fb,2019-01-21T13:48:19,18
2019-01-21T16:44:30.122+03:00,2019-01-21T16:45:47.077+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-21,?????,SI,,YE18,Al Hudaydah,YE1819,Hays,???,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,550,,,054c1b95-3724-4d41-8641-a2da57cc03cb,2019-01-21T13:46:37,19
2019-01-21T16:35:41.072+03:00,2019-01-21T16:44:04.678+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-21,?????????,SI,,YE18,Al Hudaydah,YE1819,Hays,???,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,no,1667,1,,2,no,,,No_constraints,0,0,0,0,0,0,0,0,0,1,0,no,,,,8e7fdbaf-f06b-422a-8ef4-5607d61723cc,2019-01-21T13:44:30,20
2019-01-21T16:31:23.585+03:00,2019-01-21T16:35:11.385+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-21,?????????,SI,,YE18,Al Hudaydah,YE1819,Hays,???,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,1500,3,,5,no,,,No_constraints,0,0,0,0,0,0,0,0,0,1,0,no,,,,b8855994-4c93-433c-a55e-011772e0b752,2019-01-21T13:35:40,21
2019-01-21T16:26:53.889+03:00,2019-01-21T16:31:04.100+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-21,?????????,SI,,YE18,Al Hudaydah,YE1819,Hays,???,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,3.8,Private,Pumping_Station_or_Borehole,no,1316,1,,3,no,,,No_constraints,0,0,0,0,0,0,0,0,0,1,0,no,,,,0fbabf6f-2bf3-45c8-be47-1e2b38069f06,2019-01-21T13:31:23,22
2019-01-21T16:16:27.695+03:00,2019-01-21T16:26:19.640+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-21,?????????,SI,,YE18,Al Hudaydah,YE1819,Hays,???,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,,no,,,,,0,,yes,yes,75,130,138.6666667,138.6666667,,yes,yes,,120,NaN,120,,yes,yes,,250,NaN,250,,YE24,Wholesaler,1,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,79b3d19d-a849-496a-b93b-333361476f7c,2019-01-21T13:26:53,23
2019-01-21T16:11:06.663+03:00,2019-01-21T16:15:34.977+03:00,2019-01-21,ee.humanitarianresponse.info:r81S7ybaOHftfFj4,2019-01-21,?????????,SI,,YE18,Al Hudaydah,YE1819,Hays,???,Urban,no,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,,yes,yes,,150,NaN,150,,yes,yes,75,120,128,128,,yes,no,110,120,109.0909091,109.0909091,,yes,yes,,300,NaN,300,,YE24,Wholesaler,1,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,2cad584e-7c61-4f1e-b9e6-9245d12183ab,2019-01-21T13:16:27,24
