start,end,today,deviceid,date_survey,enumerator_id,select_one_organisation_name,org_name_other,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,price_petrol_display,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,price_diesel_display,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_list,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,price_bottled_water_display,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,price_treated_water_display,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,price_soap_display,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,price_laundry_powder_display,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,price_sanitary_napkins_display,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,note_exchange_rate,further_comments,__version__,_id,_uuid,_submission_time,_validation_status,_index
2018-12-11T11:58:30.178+03:00,2018-12-11T12:10:55.804+03:00,2018-12-11,ee.humanitarianresponse.info:iq9vhqQS0XVohdTd,2018-12-08,Mohammed,NRC,,YE17,YE1715,Almagthera,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,445,NaN,,,yes,no,20,8600,430,,,YE18,7,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,100,NaN,,,yes,no,20,200,100,,,yes,yes,75,120,,,,yes,yes,,100,NaN,,,yes,yes,,650,NaN,,,YE17,Vendor,5,Price_inflation Liquidity_shortage Insecurity_and_instability Transportation_issues,1,1,0,1,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Public,Pumping_Station_or_Borehole,Do_not_know,2900,8,,35,Do_not_know,,,Price_inflation Shortage_of_demand Insecurity_and_instability Transportation_issues,1,0,1,1,0,0,1,0,0,0,0,yes,470,,No,v2ZtbFxdMLUeS6K3smMjSx,43209535,78b1e130-744a-4ffe-9356-ca771d95ae92,2018-12-11T09:11:14,,11
2018-12-11T16:06:25.091+03:00,2018-12-11T16:25:20.134+03:00,2018-12-11,ee.humanitarianresponse.info:abJEBZoKfQTMnV1g,2018-12-10,????,SCI,,YE15,YE1521,??????,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,350,NaN,,,yes,yes,,340,NaN,,,YE24,4,Transportation_issues,0,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,,,yes,yes,,150,NaN,,,yes,yes,75,130,,,,yes,no,110,100,90.90909091,,,yes,yes,,500,NaN,,,YE15,Wholesaler,3,Liquidity_shortage,0,1,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,5,Private,Pumping_Station_or_Borehole,no,2000,6,,10,yes,6000,,Shortage_of_demand,0,0,1,0,0,0,0,0,0,0,0,yes,490,,,v2ZtbFxdMLUeS6K3smMjSx,43234580,82192e67-7ee9-4b4e-a03f-f0a2375e17ce,2018-12-11T13:25:25,,12
2018-12-11T16:25:24.980+03:00,2018-12-11T16:29:35.489+03:00,2018-12-11,ee.humanitarianresponse.info:abJEBZoKfQTMnV1g,2018-12-10,????,SCI,,YE15,YE1521,??????,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,350,NaN,,,yes,yes,,340,NaN,,,YE24,3,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,490,,,v2ZtbFxdMLUeS6K3smMjSx,43234989,8312898b-8baa-43aa-8f91-48a982ede19e,2018-12-11T13:29:39,,13
2018-12-11T16:29:39.317+03:00,2018-12-11T16:36:05.089+03:00,2018-12-11,ee.humanitarianresponse.info:abJEBZoKfQTMnV1g,2018-12-10,????,SCI,,YE15,YE1521,??????,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,,,yes,yes,,150,NaN,,,yes,yes,75,110,,,,yes,no,110,100,90.90909091,,,no,,,,,,,YE15,Wholesaler,3,Liquidity_shortage,0,1,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,490,,,v2ZtbFxdMLUeS6K3smMjSx,43235575,56d167cc-2f54-4350-b6e5-00fc8e8c95e4,2018-12-11T13:36:47,,14
2018-12-11T16:36:53.673+03:00,2018-12-11T16:42:15.895+03:00,2018-12-11,ee.humanitarianresponse.info:abJEBZoKfQTMnV1g,2018-12-10,????,SCI,,YE15,YE1522,?????,Rural,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,,,yes,yes,,150,NaN,,,yes,yes,75,150,,,,yes,no,110,120,109.0909091,,,yes,yes,,500,NaN,,,YE15,Wholesaler,3,Liquidity_shortage,0,1,0,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,2000,8,,15,yes,7000,,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,490,,,v2ZtbFxdMLUeS6K3smMjSx,43236128,0c0f9424-3e82-457b-8c62-0d37a7839f22,2018-12-11T13:42:39,,15
2018-12-12T10:52:25.284+03:00,2018-12-12T11:26:34.660+03:00,2018-12-12,ee.humanitarianresponse.info:1Woq1ozJuC9TfhjJ,2018-12-11,Mohammed,SI,,YE18,YE1820,AlKhawkha,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,360,NaN,,,yes,yes,,360,NaN,,,YE24,20,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,no,,,,,,,yes,yes,75,120,,,,yes,yes,,120,NaN,,,no,,,,,,,YE24,Wholesaler,4,No_constraints,0,0,0,0,0,0,0,0,0,1,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,v2ZtbFxdMLUeS6K3smMjSx,43296768,7bbb0484-1373-4398-a14a-bda2990535a1,2018-12-12T08:26:41,,16
2018-12-12T10:52:25.284+03:00,2018-12-12T11:22:42.933+03:00,2018-12-12,ee.humanitarianresponse.info:1Woq1ozJuC9TfhjJ,2018-12-11,Mohammed,SI,,YE18,YE1820,AlKhawkha,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,360,NaN,,,yes,yes,,360,NaN,,,YE24,20,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,no,,,,,,,yes,yes,75,120,,,,yes,yes,,120,NaN,,,no,,,,,,,YE24,Wholesaler,4,No_constraints,0,0,0,0,0,0,0,0,0,1,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,v2ZtbFxdMLUeS6K3smMjSx,43296870,7bbb0484-1373-4398-a14a-bda2990535a1,2018-12-12T08:28:17,,17
2018-12-12T11:26:41.674+03:00,2018-12-12T12:10:02.330+03:00,2018-12-12,ee.humanitarianresponse.info:1Woq1ozJuC9TfhjJ,2018-12-11,Abdulsalam,SI,,YE18,YE1820,Alkhawkha,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,360,NaN,,,yes,yes,,360,NaN,,,YE19,7,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,,,yes,yes,,80,NaN,,,yes,yes,75,100,,,,yes,yes,,120,NaN,,,no,,,,,,,YE18,Wholesaler,7,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,Cash,1,0,0,0,0,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,no,2000,2,,9,yes,0,500,No_constraints,0,0,0,0,0,0,0,0,0,1,0,yes,500,,,v2ZtbFxdMLUeS6K3smMjSx,43300097,3d679c35-d63e-497c-887c-4d2891bd69d2,2018-12-12T09:10:11,,18
2018-12-12T08:34:19.674+03:00,2018-12-12T12:17:52.742+03:00,2018-12-12,ee.humanitarianresponse.info:abJEBZoKfQTMnV1g,2018-12-15,????,SCI,,YE15,YE1522,?????,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,NaN,,,yes,yes,,350,NaN,,,YE24,4,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,130,NaN,,,yes,yes,,100,NaN,,,yes,yes,75,150,,,,yes,yes,,80,NaN,,,yes,yes,,550,NaN,,,YE15,Wholesaler,3,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,490,,,v2ZtbFxdMLUeS6K3smMjSx,43300604,ca07f101-c115-49a0-98ef-2e3c25ebcf05,2018-12-12T09:18:02,,19
2018-12-12T12:18:02.043+03:00,2018-12-12T12:24:17.212+03:00,2018-12-12,ee.humanitarianresponse.info:abJEBZoKfQTMnV1g,2018-12-15,????,SCI,,YE15,YE1522,?????,Urban,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,120,NaN,,,yes,yes,,100,NaN,,,yes,yes,75,130,,,,yes,no,110,120,109.0909091,,,yes,yes,,550,NaN,,,YE15,Wholesaler,4,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,490,,,v2ZtbFxdMLUeS6K3smMjSx,43301343,1e264a04-29df-4025-aadc-cc2015274e1c,2018-12-12T09:24:23,,20
