date_survey,enumerator_id,select_one_organisation_name,governorate_ID,district_ID,market_name,type_area,fuel_prices,cash_feasibility_fuel,cash_feasibility_fuel/Cash,cash_feasibility_fuel/Mobile_money,cash_feasibility_fuel/Credit_debit_Card,cash_feasibility_fuel/Prepaid_cards,cash_feasibility_fuel/Credit,cash_feasibility_fuel/Vouchers,cash_feasibility_fuel/Bartering,cash_feasibility_fuel/Other,cash_feasibility_fuel/Do_not_know,Other_cash_feasibility_fuel,sell_petrol,quantity_1L_petrol,quantity_other_petrol,price_petrol,calc_price_petrol,price_petrol_normalised,sell_diesel,quantity_1L_diesel,diesel_quantity_other,price_diesel,calc_price_diesel,price_diesel_normalised,fuel_gov_origin,fuel_restock_days_min,fuel_constraints_multiple,fuel_constraints_multiple/Price_inflation,fuel_constraints_multiple/Liquidity_shortage,fuel_constraints_multiple/Shortage_of_demand,fuel_constraints_multiple/Insecurity_and_instability,fuel_constraints_multiple/Supply_shortage,fuel_constraints_multiple/Government_regulations,fuel_constraints_multiple/Transportation_issues,fuel_constraints_multiple/Other_see_next_question,fuel_constraints_multiple/Do_not_know,fuel_constraints_multiple/No_constraints,fuel_constraints_multiple/Vendor_did_not_answer,wash_prices,cash_feasibility_wash,cash_feasibility_wash/Cash,cash_feasibility_wash/Mobile_money,cash_feasibility_wash/Credit_debit_Card,cash_feasibility_wash/Prepaid_cards,cash_feasibility_wash/Credit,cash_feasibility_wash/Vouchers,cash_feasibility_wash/Bartering,cash_feasibility_wash/Other,cash_feasibility_wash/Do_not_know,Other_cash_feasibility_wash,sell_bottled_water,quantity_0.75L,bottled_quantity_other,price_bottled_water,calc_price_bottled_water,price_bottled_water_normalised,sell_treated_water,quantity_10L,treated_quantity_other,price_treated_water,calc_price_treated_water,price_treated_water_normalised,sell_soap,quantity_1bar,soap_quantity_specify,price_soap,calc_price_soap,price_soap_normalised,sell_laundry_powder,quantity_100g,laundry_quantity_other,price_laundry_powder,calc_price_laundry,price_laundry_powder_normalised,sell_sanitary_napkins,quantity_10units,napkins_quantity_other,price_sanitary_napkins,calc_price_sanitary,price_sanitary_napkins_normalised,wash_gov_origin,wash_type_supplier,wash_restock_days_min,wash_constraints_multiple,wash_constraints_multiple/Price_inflation,wash_constraints_multiple/Liquidity_shortage,wash_constraints_multiple/Shortage_of_demand,wash_constraints_multiple/Insecurity_and_instability,wash_constraints_multiple/Supply_shortage,wash_constraints_multiple/Government_regulations,wash_constraints_multiple/Transportation_issues,wash_constraints_multiple/Other_see_next_question,wash_constraints_multiple/Do_not_know,wash_constraints_multiple/No_constraints,wash_constraints_multiple/Vendor_did_not_answer,water_trucking_prices,cash_feasibility_water_trucking,cash_feasibility_water_trucking/Cash,cash_feasibility_water_trucking/Mobile_money,cash_feasibility_water_trucking/Credit_debit_Card,cash_feasibility_water_trucking/Prepaid_cards,cash_feasibility_water_trucking/Credit,cash_feasibility_water_trucking/Vouchers,cash_feasibility_water_trucking/Bartering,cash_feasibility_water_trucking/Other,cash_feasibility_water_trucking/Do_not_know,Other_cash_feasibility_water_trucking,capacity_truck,type_owner,type_water,water_chlorinated,cost_cubic_meter,location_source,price_cubic_meter,distance_travelled,distance_price,additional_cost_5,additional_cost_10,constraints_multiple,constraints_multiple/Price_inflation,constraints_multiple/Liquidity_shortage,constraints_multiple/Shortage_of_demand,constraints_multiple/Insecurity_and_instability,constraints_multiple/Supply_shortage,constraints_multiple/Government_regulations,constraints_multiple/Transportation_issues,constraints_multiple/Other_see_next_question,constraints_multiple/Do_not_know,constraints_multiple/No_constraints,constraints_multiple/Vendor_did_not_answer,exchange_rate,exchange_rate_result,_uuid
11/22/2018,Wajdi,ACTED,YE11,YE1119,Al-Sabal,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,575,NaN,575,yes,yes,,580,NaN,580,YE18,5,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,yes,no,5,100,200,200,yes,yes,80,170,170,170,yes,yes,,130,NaN,130,yes,yes,,550,NaN,550,YE11,Wholesaler,7,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,6,Private,Pumping_Station_or_Borehole,Do_not_know,2500,3,,5,yes,9000,0,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,530,d4bbbd01-8fcf-4102-9f03-7c454e8151b5
11/22/2018,Wajdi,ACTED,YE11,YE1119,Gawlat Al-Odain,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,575,NaN,575,yes,yes,,580,NaN,580,YE18,2,Price_inflation Liquidity_shortage Government_regulations,1,1,0,0,0,1,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,yes,yes,,150,NaN,150,no,,,,,,yes,yes,80,180,180,180,yes,yes,,120,NaN,120,yes,yes,,400,NaN,400,YE11,Wholesaler,9,Price_inflation Shortage_of_demand Insecurity_and_instability,1,0,1,1,0,0,0,0,0,0,0,yes,Cash Bartering,1,0,0,0,0,0,1,0,0,,8,Private,Pumping_Station_or_Borehole,no,2000,1,,5,yes,12000,0,Price_inflation Shortage_of_demand Other_see_next_question,1,0,1,0,0,0,0,1,0,0,0,yes,540,57123923-c614-4c1b-8c93-cc9cb0a2b913
11/26/2018,Bassam,ACTED,YE16,YE1610,Alhashidi,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE26,20,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,300,NaN,300,yes,yes,75,150,160,160,yes,yes,,100,NaN,100,yes,yes,,550,NaN,550,YE23,Vendor,30,Liquidity_shortage Shortage_of_demand Transportation_issues,0,1,1,0,0,0,1,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,8,Private,Pumping_Station_or_Borehole,no,1500,5,,10,yes,1200,2400,Price_inflation Insecurity_and_instability Transportation_issues,1,0,0,1,0,0,1,0,0,0,0,yes,542,ef891874-36d0-4b4c-8967-8e505f854691
11/26/2018,Bassam,ACTED,YE16,YE1610,Waghmeed,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE26,30,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,300,NaN,300,yes,yes,75,150,160,160,yes,yes,,100,NaN,100,yes,yes,,600,NaN,600,YE23,Vendor,30,Price_inflation Insecurity_and_instability Supply_shortage,1,0,0,1,1,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,1500,,,10,yes,1500,2500,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,540,e7f58135-d440-4edc-bc0e-651f09b68275
11/26/2018,Yahia,ACTED,YE16,YE1610,Alhaj,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE26,30,Price_inflation Shortage_of_demand Insecurity_and_instability Transportation_issues,1,0,1,1,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,300,NaN,300,yes,yes,75,150,160,160,yes,yes,,100,NaN,100,yes,yes,,550,NaN,550,YE23,Vendor,20,Shortage_of_demand Supply_shortage,0,0,1,0,1,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,8,Private,Pumping_Station_or_Borehole,no,1500,4,,10,yes,1000,2000,Price_inflation Liquidity_shortage Shortage_of_demand,1,1,1,0,0,0,0,0,0,0,0,yes,530,7cfbac7b-ebf6-47af-9f88-b5476d125e73
11/25/2018,Jafer,ACTED,YE22,YE2211,Altaleh,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE29,,Shortage_of_demand Transportation_issues,0,0,1,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,300,NaN,300,yes,yes,75,150,160,160,yes,yes,,100,NaN,100,yes,yes,,650,NaN,650,YE22,Vendor,30,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,6,Private,Pumping_Station_or_Borehole,yes,1500,5,,10,yes,1000,2000,Insecurity_and_instability Transportation_issues,0,0,0,1,0,0,1,0,0,0,0,yes,530,d03cc4bc-ed33-4b86-b65c-51abf8572a86
11/25/2018,Mohammed,ACTED,YE22,YE2211,Ahma,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,650,NaN,650,yes,yes,,670,NaN,670,YE29,25,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,300,NaN,300,yes,yes,75,300,320,320,yes,yes,,100,NaN,100,yes,yes,,700,NaN,700,YE22,Vendor,30,Price_inflation Shortage_of_demand Transportation_issues,1,0,1,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,1600,8,,10,yes,1000,2000,Price_inflation Shortage_of_demand Insecurity_and_instability Transportation_issues,1,0,1,1,0,0,1,0,0,0,0,yes,550,c175152d-a350-4267-8bd6-e3346c1c8a62
11/25/2018,Mohammed,ACTED,YE22,YE2211,Almodee,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE29,30,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,300,NaN,300,yes,yes,75,120,128,128,yes,yes,,110,NaN,110,yes,yes,,600,NaN,600,YE22,Vendor,30,Price_inflation Supply_shortage,1,0,0,0,1,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,1500,3,,10,yes,1000,2000,Price_inflation Liquidity_shortage Transportation_issues,1,1,0,0,0,0,1,0,0,0,0,yes,540,1dfe3ae1-216a-4a10-9b19-2c67cb2426aa
11/22/2018,Adnan,ACTED,YE22,YE2215,Ghadara,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE26,25,Price_inflation Shortage_of_demand,1,0,1,0,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,300,NaN,300,yes,yes,75,150,160,160,yes,yes,,100,NaN,100,yes,yes,,100,NaN,100,YE29,Vendor,21,Price_inflation Transportation_issues,1,0,0,0,0,0,1,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,1700,7,,10,yes,1200,2000,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,530,2d32ccc7-0514-439f-84c8-cac6d94ad67f
11/22/2018,Zakaria,ACTED,YE22,YE2215,Almafreq,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE26,14,Price_inflation Liquidity_shortage,1,1,0,0,0,0,0,0,0,0,0,yes,Cash Credit_debit_Card,1,0,1,0,0,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,300,NaN,300,yes,yes,75,150,160,160,yes,yes,,100,NaN,100,yes,yes,,600,NaN,600,YE22,Vendor,30,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,4,Private,Pumping_Station_or_Borehole,no,1500,4,,10,yes,1000,2000,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,530,fae168b2-28f6-4dcf-afd5-7eec9fab7bb6
11/22/2018,Abdulelah,ACTED,YE22,YE2215,Almarkezi,Urban,yes,Cash Credit_debit_Card,1,0,1,0,0,0,0,0,0,,yes,yes,,500,NaN,500,yes,yes,,530,NaN,530,YE26,24,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Cash Credit,1,0,0,0,1,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,300,NaN,300,yes,yes,75,150,160,160,yes,yes,,100,NaN,100,yes,yes,,500,NaN,500,YE22,Vendor,30,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,8,Private,Pumping_Station_or_Borehole,no,1450,6,,10,yes,1500,3000,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,yes,530,3ebc8419-108b-4791-b7a1-cfa6335220b8
11/27/2018,Abd Al Raqeeb,ACTED,YE30,YE3006,Al Madinah,Urban,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,250,NaN,250,yes,yes,,300,NaN,300,YE24,30,Price_inflation,1,0,0,0,0,0,0,0,0,0,0,yes,Mobile_money Credit_debit_Card,0,1,1,0,0,0,0,0,0,,yes,yes,,150,NaN,150,yes,yes,,250,NaN,250,yes,yes,80,100,100,100,yes,yes,,100,NaN,100,yes,yes,,500,NaN,500,YE24,Wholesaler,30,Price_inflation Government_regulations,1,0,0,0,0,1,0,0,0,0,0,yes,Cash,1,0,0,0,0,0,0,0,0,,3,Private,Pumping_Station_or_Borehole,yes,3000,5,,5,yes,5000,2000,Shortage_of_demand,0,0,1,0,0,0,0,0,0,0,0,yes,550,7da02f22-a0e8-4313-aa24-666163498866
11/27/2018,Abd Al Raqeeb,ACTED,YE30,YE3006,Senah,Rural,yes,Cash,1,0,0,0,0,0,0,0,0,,yes,yes,,365,NaN,365,yes,yes,,360,NaN,360,YE24,2,Price_inflation Insecurity_and_instability,1,0,0,1,0,0,0,0,0,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,dd58bf36-a8fb-4303-bc14-b2c94a085462
